county1,county2,county3,city,precinct,election_date,issue,result,for_vote,against_vote,status_before,status_current,status_before_detail,status_current_detail,fiscal_year,jurid,issue.clean,prohibitory,beer.wine,mixed.beverges,all.alocohol,off.premise,on.premise,cert
Denton,NA,NA,Roanoke,NA,5-Apr-97,legal sale of beer and wine for off-premises consumption only.,failed,328,338,dry,dry,NA,NA,1997,Denton___Roanoke_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Limestone,NA,NA,Coolidge,NA,11-Aug-97,legal sale of beer and wine.,passed,98,57,dry,wet,NA,legal sale of beer and wine.,1997,Limestone___Coolidge_,legal sale of beer and wine,0,1,0,0,0,1,0
Medina,NA,NA,Devine,NA,17-May-97,"legal sale of all alcoholic beverages, including mixed beverages",passed,158,134,wet,wet,beer and wine,"for the sale of all alcoholic beverages, including mixed beverages.",1997,Medina___Devine_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Navarro,NA,NA,Goodlow,NA,10-Mar-97,"legal sale of all alcoholic beverages, including mixed beverages.",failed,38,63,wet,wet,beer and wine for off-premises consumption only,beer and wine for off-premises consumption only,1997,Navarro___Goodlow_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Brewster,NA,NA,Precinct 3,Precinct 3,23-May-98,"legal sale of all alcoholic beverages, including mixed beverages.",passed,34,20,wet,wet,beer and wine for off-premises consumption,"for the sale of all alcoholic beverages, including mixed beverages.",1998,Brewster___Precinct 3_Precinct 3,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Denton,NA,NA,Pilot Point,NA,6-Sep-97,legal sale of all alcoholic beverages for off-premises consumption only.,failed,112,119,wet,wet,beer and wine for off-premises consumption,beer and wine for off-premises consumption,1998,Denton___Pilot Point_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Fannin,NA,NA,Ravenna,NA,8-Nov-97,legal sale of all alcoholic beverages for off-premises consumption only.,failed,37,46,dry,dry,NA,NA,1998,Fannin___Ravenna_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Freestone,NA,NA,Wortham,NA,4-Nov-97,legal sale of all alcoholic beverages for off-premises consumption only.,passed,170,157,dry,dry,NA,NA,1998,Freestone___Wortham_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Freestone,NA,NA,Wortham,NA,6-Jun-98,legal sale of all alcoholic beverages for off-premises consumption only.,passed,214,193,dry,wet,NA,for sale of all alcoholic beverages for off-premises consumption only,1998,Freestone___Wortham_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Coleman,NA,NA,Santa Anna,NA,31-Aug-99,legal sale of beer and wine.,passed,222,143,dry,wet,NA,for the sale of beer and wine.,1999,Coleman___Santa Anna_,legal sale of beer and wine,0,1,0,0,0,1,0
Denton,NA,NA,Hickory Creek,NA,5-Sep-98,legal sale of beer and wine for off-premises consumption only.,passed,186,105,dry,wet,NA,wet only for the sale of beer and wine for off-premises consumption only.,1999,Denton___Hickory Creek_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Hays,NA,NA,NA,Precinct 5,16-Jan-99,legal sale of beer and wine for off-premises consumption only.,passed,1268,292,dry,wet,NA,for the sale of beer and wine for off-premises consumption only.,1999,Hays____Precinct 5,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Lavaca,NA,NA,NA,Precinct 4,3-Nov-99,legal sale of beer and wine for off-premises consumption only.,passed,324,120,dry,wet,NA,wet,1999,Lavaca____Precinct 4,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Van Zandt,NA,NA,Edgewood,NA,3-Nov-98,legal sale of all alcoholic beverages for off-premises consumption only.,failed,254,456,dry,dry,NA,NA,1999,Van Zandt___Edgewood_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Denton,NA,NA,Bartonville,NA,4-Dec-99,legal sale of beer and wine for off-premises consumption only.,passed,65,14,wet,wet,wet for the sale of beer and wine for off-premises only,wet for the sale of beer and wine for off-premises only,2000,Denton___Bartonville_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,NA,Precinct 7,5-Feb-00,legal sale of mixed beverages.,passed,73,26,dry,wet,NA,for the sale of mixed beverages.,2000,Denton____Precinct 7,legal sale of mixed beverages.,0,0,1,0,0,1,0
Jefferson,NA,NA,Nederland,NA,4-Dec-99,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1022,454,dry,wet,NA,for the sale of mixed beverages in restaurants holding food and beverage certificates,2000,Jefferson___Nederland_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Kaufman,NA,NA,Kemp,NA,25-Sep-99,legal sale of all alcoholic beverages for off premises consumption only.,failed,158,171,dry,dry,NA,NA,2000,Kaufman___Kemp_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Navarro,NA,NA,Goodlow,NA,13-Oct-99,To prohibit the legal sale of all alcoholic beverages including mixed beverages,passed,64,63,wet,dry,all alcoholic beverages including mixed beverages,NA,2000,Navarro___Goodlow_,prohibit the legal sale of all alcoholic beverages including mixed beverages,1,0,0,0,0,0,0
Throckmorton,NA,NA,Throckmorton,NA,7-Sep-99,legal sale of all alcoholic beverages including mixed beverages.,failed,160,336,dry,dry,NA,NA,2000,Throckmorton___Throckmorton_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Williamson,NA,NA,Weir,NA,29-Jan-00,legal sale of all alcoholic beverages including mixed beverages.,passed,73,60,dry,wet,NA,for the sale of all alcoholic beverages including mixed beverages,2000,Williamson___Weir_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Collin,NA,NA,Lowry Crossing,NA,5-May-01,legal sale of all alcoholic beverages for off-premises consumption only.,failed,146,357,dry,dry,NA,NA,2001,Collin___Lowry Crossing_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Cooke,NA,NA,Oak Ridge,NA,17-Feb-01,legal sale of all alcoholic beverages including mixed beverages.,passed,17,2,wet,wet,for the sale of all alcoholic beverages for off-premises consumption,wet for the sale of all alcoholic beverages including mixed beverages.,2001,Cooke___Oak Ridge_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Denton,NA,NA,Roanoke,NA,7-Oct-00,legal sale of beer and wine for off-premises consumption only.,passed,345,314,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2001,Denton___Roanoke_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Hunt,NA,NA,Hawk Cove,NA,5-May-01,legal sale of all alcoholic beverages for off-premises consumption only.,passed,62,20,dry,wet,NA,wet for the sale of all alcoholic beverages for off-premises consumption only.,2001,Hunt___Hawk Cove_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Jefferson,NA,NA,Bevil Oaks,NA,13-Dec-00,legal sale of beer for off-premises consumption only.,passed,266,108,dry,wet,NA,wet for the sale of beer for off-premises consumption only.,2001,Jefferson___Bevil Oaks_,legal sale of beer for off-premises consumption only,0,1,0,0,1,0,0
Lubbock,NA,NA,New Deal,NA,23-Jun-01,legal sale of all alcoholic beverages for off-premises consumption only.,failed,91,142,dry,dry,NA,NA,2001,Lubbock___New Deal_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Tarrant,NA,NA,Richland Hills,NA,16-Dec-00,legal sale of beer and wine for off-premises consumption only.,passed,1341,400,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2001,Tarrant___Richland Hills_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Tarrant,NA,NA,Richland Hills,NA,16-Dec-00,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1358,374,dry,wet,NA,for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2001,Tarrant___Richland Hills_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Young,NA,NA,Newcastle,NA,10-Mar-01,legal sale of beer and wine.,failed,55,122,dry,dry,NA,NA,2001,Young___Newcastle_,legal sale of beer and wine,0,1,0,0,0,1,0
Bell,NA,NA,Temple,NA,6-Nov-01,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,2133,1139,dry,wet,NA,for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2002,Bell___Temple_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Bell,NA,NA,Temple,NA,4-May-02,legal sale of beer and wine.,passed,2803,936,wet,wet,mixed beverages in restaurants by food and beverage certificate holders,for the sale of beer and wine as well as for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2002,Bell___Temple_,legal sale of beer and wine,0,1,0,0,0,1,0
Cochran,NA,NA,Whiteface,NA,4-May-02,legal sale of all alcoholic beverages for off-premises consumption only.,failed,83,114,dry,dry,NA,NA,2002,Cochran___Whiteface_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Collin,NA,NA,Fairview,NA,2-Feb-02,legal sale of all alcoholic beverages including mixed beverages.,failed,293,916,dry,dry,NA,NA,2002,Collin___Fairview_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Collin,NA,NA,Frisco,NA,2-Feb-02,the legal sale of beer and wine for off-premises consumption only,passed,3599,2063,dry,wet,NA,for both the sale of beer and wine for off-premises consumption only,2002,Collin___Frisco_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Collin,NA,NA,Frisco,NA,2-Feb-02,“the legal sale of mixed beverages in restaurants by food and beverage certificate holders only,passed,3939,1716,dry,wet,NA,the sale of mixed beverages in restaurants by food and beverage certificate holders only,2002,Collin___Frisco_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Corinth,NA,2-Feb-02,legal sale of beer and wine for off-premises consumption only.,passed,1185,266,dry,wet,NA,for the sale of beer and wine for off-premises consumption only.,2002,Denton___Corinth_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Tarrant,NA,NA,South Lake,NA,6-Nov-01,legal sale of wine for off-premises consumption only.,passed,3007,129,wet,wet,beer for off-premises consumption only and for the sale of mixed beverages,for the sale of beer and wine for off-premises consumption only and for the sale of mixed beverages.,2002,Tarrant___South Lake_,legal sale of wine for off-premises consumption only,0,1,0,0,1,0,0
Tarrant,NA,NA,West Lake,NA,6-Nov-01,legal sale of wine for off-premises consumption only.,passed,40,5,wet,wet,beer for off-premises consumption only and for the sale of mixed beverages,for the sale of beer and wine for off-premises consumption only and for the sale of mixed beverages.,2002,Tarrant___West Lake_,legal sale of wine for off-premises consumption only,0,1,0,0,1,0,0
Williamson,NA,NA,NA,Precinct 1,2-Feb-02,legal sale of mixed beverages in restaurants by of food and beverage certificate holders only.,passed,804,157,wet,wet,beer and wine,for the sale of mixed beverages in restaurants by food and beverage certificate holders only as well as for beer and wine.,2002,Williamson____Precinct 1,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Wise,NA,NA,Rhome,NA,8-Sep-01,legal sale of all alcoholic beverages including mixed beverages.,passed,96,53,dry,wet,NA,for the sale of all alcoholic beverages including mixed beverages.,2002,Wise___Rhome_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Brazoria,NA,NA,Pearland,NA,14-Sep-02,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1219,463,wet,wet,for the sale of beer,for the sale of beer and for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2003,Brazoria___Pearland_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Collin,NA,NA,Murphy,NA,3-May-03,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1003,584,dry,wet,NA,for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2003,Collin___Murphy_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Collin,NA,NA,Murphy,NA,3-May-03,legal sale of beer and wine for off-premises consumption only,failed,750,835,dry,wet,NA,for the sale of mixed beverages in restaurants by food and beverage certificate holders only,2003,Collin___Murphy_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Collin,NA,NA,St. Paul,NA,3-May-03,legal sale of all alcoholic beverages for off-premises consumption only.,failed,113,140,dry,dry,NA,NA,2003,Collin___St. Paul_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Collingsworth,NA,NA,Wellington,NA,5-Nov-02,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,failed,316,467,dry,dry,NA,NA,2003,Collingsworth___Wellington_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Cooke,NA,NA,Gainesville,NA,14-Sep-02,legal sale of all alcoholic beverages including mixed beverages.,passed,2058,1329,dry,wet,NA,for the sale of all alcoholic beverages including mixed beverages.,2003,Cooke___Gainesville_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
