"popdata","keyformerge"
"Abbott","abbott"
"Abernathy","abernathy"
"Abilene","abilene"
"Ackerly","ackerly"
"Addison","addison"
"Adrian","adrian"
"Agua Dulce","agua dulce"
"Alamo","alamo"
"Alamo Heights","alamo heights"
"Alba","alba"
"Albany","albany"
"Aledo","aledo"
"Alice","alice"
"Allen","allen"
"Alma","alma"
"Alpine","alpine"
"Alto","alto"
"Alton","alton"
"Alvarado","alvarado"
"Alvin","alvin"
"Alvord","alvord"
"Amarillo","amarillo"
"Ames","ames"
"Amherst","amherst"
"Anahuac","anahuac"
"Anderson","anderson"
"Andrews","andrews"
"Angleton","angleton"
"Angus","angus"
"Anna","anna"
"Annetta","annetta"
"Annetta North","annetta north"
"Annetta South","annetta south"
"Annona","annona"
"Anson","anson"
"Anthony","anthony"
"Anton","anton"
"Appleby","appleby"
"Aquilla","aquilla"
"Aransas Pass","aransas pass"
"Archer City","archer"
"Arcola","arcola"
"Argyle","argyle"
"Arlington","arlington"
"Arp","arp"
"Asherton","asherton"
"Aspermont","aspermont"
"Athens","athens"
"Atlanta","atlanta"
"Aubrey","aubrey"
"Aurora","aurora"
"Austin","austin"
"Austwell","austwell"
"Avery","avery"
"Avinger","avinger"
"Azle","azle"
"Bailey","bailey"
"Bailey's Prairie","bailey's prairie"
"Baird","baird"
"Balch Springs","balch springs"
"Balcones Heights","balcones heights"
"Ballinger","ballinger"
"Balmorhea","balmorhea"
"Bandera","bandera"
"Bangs","bangs"
"Bardwell","bardwell"
"Barry","barry"
"Barstow","barstow"
"Bartlett","bartlett"
"Bartonville","bartonville"
"Bastrop","bastrop"
"Bay City","bay"
"Bayou Vista","bayou vista"
"Bayside","bayside"
"Baytown","baytown"
"Bayview","bayview"
"Beach City","beach"
"Bear Creek","bear creek"
"Beasley","beasley"
"Beaumont","beaumont"
"Beckville","beckville"
"Bedford","bedford"
"Bedias","bedias"
"Bee Cave","bee cave"
"Beeville","beeville"
"Bellaire","bellaire"
"Bellevue","bellevue"
"Bellmead","bellmead"
"Bells","bells"
"Bellville","bellville"
"Belton","belton"
"Benavides","benavides"
"Benbrook","benbrook"
"Benjamin","benjamin"
"Berryville","berryville"
"Bertram","bertram"
"Beverly Hills","beverly hills"
"Bevil Oaks","bevil oaks"
"Big Lake","big lake"
"Big Sandy","big sandy"
"Big Spring","big spring"
"Big Wells","big wells"
"Bishop","bishop"
"Bishop Hills","bishop hills"
"Blackwell","blackwell"
"Blanco","blanco"
"Blanket","blanket"
"Bloomburg","bloomburg"
"Blooming Grove","blooming grove"
"Blossom","blossom"
"Blue Mound","blue mound"
"Blue Ridge","blue ridge"
"Blum","blum"
"Boerne","boerne"
"Bogata","bogata"
"Bonham","bonham"
"Bonney","bonney"
"Booker","booker"
"Borger","borger"
"Bovina","bovina"
"Bowie","bowie"
"Boyd","boyd"
"Brackettville","brackettville"
"Brady","brady"
"Brazoria","brazoria"
"Brazos Bend","brazos bend"
"Brazos Country","brazos country"
"Breckenridge","breckenridge"
"Bremond","bremond"
"Brenham","brenham"
"Briarcliff","briarcliff"
"Briaroaks","briaroaks"
"Bridge City","bridge"
"Bridgeport","bridgeport"
"Broaddus","broaddus"
"Bronte","bronte"
"Brookshire","brookshire"
"Brookside Village","brookside"
"Browndell","browndell"
"Brownfield","brownfield"
"Brownsboro","brownsboro"
"Brownsville","brownsville"
"Brownwood","brownwood"
"Bruceville-Eddy","bruceville-eddy"
"Bryan","bryan"
"Bryson","bryson"
"Buckholts","buckholts"
"Buda","buda"
"Buffalo","buffalo"
"Buffalo Gap","buffalo gap"
"Buffalo Springs","buffalo springs"
"Bullard","bullard"
"Bulverde","bulverde"
"Bunker Hill Village","bunker hill"
"Burkburnett","burkburnett"
"Burke","burke"
"Burleson","burleson"
"Burnet","burnet"
"Burton","burton"
"Byers","byers"
"Bynum","bynum"
"Cactus","cactus"
"Caddo Mills","caddo mills"
"Caldwell","caldwell"
"Callisburg","callisburg"
"Calvert","calvert"
"Cameron","cameron"
"Camp Wood","camp wood"
"Campbell","campbell"
"Canadian","canadian"
"Caney City","caney"
"Canton","canton"
"Canyon","canyon"
"Carbon","carbon"
"Carl's Corner","carl's corner"
"Carmine","carmine"
"Carrizo Springs","carrizo springs"
"Carrollton","carrollton"
